"sample","TypeI_score","TypeII_score","delta","Type_call"
"53",-0.238469032713153,-0.0281093101231737,-0.210359722589979,"Type II"
"59",0.0317611223884064,-0.110044127099946,0.141805249488353,"Type I"
"88",0.0337307498181527,-0.106151155585669,0.139881905403821,"Type I"
"91",-0.0968226336418174,-0.028436499250071,-0.0683861343917464,"Type II"
"133",-0.147515897612817,0.0521721883451179,-0.199688085957935,"Type II"
"178",0.0616175235235386,-0.212871272794658,0.274488796318197,"Type I"
"190",0.117062799696019,-0.224149163496117,0.341211963192136,"Type I"
"237",-0.0701829386084379,-0.0740012045192636,0.00381826591082568,"Type I"
"238",0.0217457693274091,-0.207172970124448,0.228918739451857,"Type I"
"240",-0.244478684591626,0.176515638482074,-0.4209943230737,"Type II"
"248",-0.182949389463901,0.203612978695066,-0.386562368158967,"Type II"
"249",-0.182542350730096,0.147009259741839,-0.329551610471935,"Type II"
"250",-0.223680545440704,0.216160536937626,-0.43984108237833,"Type II"
"251",0.0666106786721824,-0.158220554426319,0.224831233098501,"Type I"
"253",-0.173799598769819,0.158159749367338,-0.331959348137157,"Type II"
"254",0.0792442808857691,-0.164664442938795,0.243908723824564,"Type I"
"255",-0.197221707617697,0.198609590984637,-0.395831298602333,"Type II"
"256",-0.142127144819101,0.0103252781107578,-0.152452422929859,"Type II"
"257",-0.185807901479905,0.0780201293700017,-0.263828030849906,"Type II"
"277",-0.225641372032963,0.145500715183313,-0.371142087216275,"Type II"
"280",0.0942893125709843,-0.181071674687143,0.275360987258128,"Type I"
"316",0.126433931452917,-0.27620987589977,0.402643807352687,"Type I"
"317",0.0967495866906695,-0.197504965746483,0.294254552437153,"Type I"
"323",0.0385206056208309,-0.186489115894442,0.225009721515273,"Type I"
"371",0.0348502163465876,-0.0155472744856182,0.0503974908322057,"Type I"
"375",-0.122641210537595,0.129047155770979,-0.251688366308574,"Type II"
"378",-0.223019162503504,0.112900517132549,-0.335919679636053,"Type II"
"413",-0.258520420803244,0.205283670077541,-0.463804090880785,"Type II"
"451",0.0724465140102731,-0.194040525124071,0.266487039134344,"Type I"
"514",0.0499528935173471,-0.21006265816554,0.260015551682887,"Type I"
"660",-0.00574848702602537,-0.135350613552,0.129602126525975,"Type I"
"731",0.0326566076027794,-0.21799482288355,0.250651430486329,"Type I"
"757",0.186986773661382,-0.232204386071588,0.419191159732969,"Type I"
"832",0.197220827533948,-0.26035133742175,0.457572164955698,"Type I"
"1007",0.102800602505334,-0.244390009439262,0.347190611944596,"Type I"
"1033",-0.23742701355461,0.201728021866657,-0.439155035421267,"Type II"
"1047",-0.235819540587482,0.215823213634232,-0.451642754221714,"Type II"
"1264",0.156814422460441,-0.234084999681497,0.390899422141939,"Type I"
"1457",-0.000372495446666732,0.00108290914565989,-0.00145540459232663,"Type II"
"1616",0.0865630573405366,-0.184604159066034,0.271167216406571,"Type I"
"1790",0.0821903612347751,-0.215875332256215,0.29806569349099,"Type I"
"2460",0.00571196355045145,-0.0866978799302768,0.0924098434807283,"Type I"
"2509",0.0700518061298714,-0.141483238072074,0.211535044201946,"Type I"
"2539",-0.148618202508151,-0.00245681393072855,-0.146161388577422,"Type II"
"2614",-0.0941520195061762,-0.060878893695384,-0.0332731258107922,"Type II"
"2620",0.134872174436119,-0.249192161359254,0.384064335795373,"Type I"
"2624",-0.138368747169981,-0.0124230526455992,-0.125945694524382,"Type II"
"2675",-0.0481474017067464,-0.0816858057828506,0.0335384040761042,"Type I"
"2677",0.0678089126961321,-0.192572517271532,0.260381429967664,"Type I"
"2698",-0.109120483905248,-0.125139706861706,0.0160192229564577,"Type I"
"2704",-0.161436182267105,0.100788728479352,-0.262224910746457,"Type II"
"2742",0.159923758344844,-0.195967466397966,0.35589122474281,"Type I"
"2806",-0.0118144642644194,-0.082015890388747,0.0702014261243276,"Type I"
"2862",0.0619699970649207,-0.197457190342998,0.259427187407919,"Type I"
"2897",-0.130350304134941,0.137908769247697,-0.268259073382638,"Type II"
"3018",0.03372546931566,-0.173458012659034,0.207183481974694,"Type I"
"3053",-0.0735096551787868,-0.140135392597998,0.0666257374192107,"Type I"
"3054",0.0774405492426659,-0.193519338904235,0.270959888146901,"Type I"
"3078",-0.250501097684456,0.178391908873485,-0.428893006557941,"Type II"
"3087",-0.0655066136093511,-0.161690786006729,0.096184172397378,"Type I"
"3096",0.107222583301027,-0.253447067748418,0.360669651049445,"Type I"
"3100",-0.166693362540379,0.0201163403461835,-0.186809702886563,"Type II"
"3101",0.139031450232804,-0.265451723678648,0.404483173911452,"Type I"
"3103",-0.206656645446381,-0.014187847095545,-0.192468798350836,"Type II"
"3104",-0.174808174745909,0.216525367291511,-0.39133354203742,"Type II"
"3105",-0.203807374309739,0.114572656254524,-0.318380030564264,"Type II"
"3108",-0.195535467155054,0.0405410492057702,-0.236076516360825,"Type II"
"3110",0.103871664427587,-0.224364876681549,0.328236541109136,"Type I"
"3124",0.0831307307203353,-0.242247354979934,0.32537808570027,"Type I"
"3129",-0.266918619975877,0.160929275029968,-0.427847895005845,"Type II"
"3137",-0.17569441908092,0.0205897511625348,-0.196284170243455,"Type II"
"3175",-0.234677631923454,0.185811573808655,-0.420489205732109,"Type II"
"3332",-0.151577044071514,0.11770701227104,-0.269284056342554,"Type II"
"3342",-0.0740891903273516,-0.180596816131293,0.106507625803941,"Type I"
"3343",-0.119766416972239,0.0949688156911798,-0.214735232663419,"Type II"
"3346",-0.219386176788583,0.182309491959255,-0.401695668747838,"Type II"
"3348",-0.136047086240727,0.12926865991441,-0.265315746155136,"Type II"
"3351",0.0628654822792937,-0.17939519234667,0.242260674625964,"Type I"
"3359",-0.0846493152288372,0.129815905445238,-0.214465220674075,"Type II"
"3363",-0.136785916547819,-0.0320848027889254,-0.104701113758893,"Type II"
"3365",0.0676852609294301,-0.161207241013881,0.228892501943311,"Type I"
"3366",0.150955704944883,-0.235745556887476,0.386701261832358,"Type I"
"3374",0.160869408332897,-0.26614519089893,0.427014599231827,"Type I"
"3439",-0.203071184253894,0.0659966528262771,-0.269067837080171,"Type II"
"3444",-0.0689266190570695,0.0449595501583827,-0.113886169215452,"Type II"
"3453",0.128253944645372,-0.242313950996913,0.370567895642286,"Type I"
"3458",-0.120412398443836,-0.0607949248044104,-0.0596174736394255,"Type II"
"3531",-0.0415353325022409,-0.167955154821262,0.126419822319021,"Type I"
"3535",0.0892261907643132,-0.193142926634353,0.282369117398666,"Type I"
"3551",0.0948710479289209,-0.121867815592734,0.216738863521654,"Type I"
"3552",0.100523385805393,-0.164373447299387,0.26489683310478,"Type I"
"3556",0.106037110491434,-0.195889288464991,0.301926398956425,"Type I"
"3558",0.0554155733459596,-0.123476254176728,0.178891827522688,"Type I"
"3560",0.0777485785547353,-0.241064551808806,0.318813130363541,"Type I"
"3570",0.00075445179363276,-0.0861926188449355,0.0869470706385683,"Type I"
"3599",0.079391694913688,-0.165110346704655,0.244502041618343,"Type I"
"3642",-0.153924667471357,0.167921856812772,-0.321846524284129,"Type II"
"3644",0.0816777124511169,-0.175480504739899,0.257158217191016,"Type I"
"3808",0.162978969078698,-0.287997370905069,0.450976339983766,"Type I"
"3879",-0.15880033143954,0.175697665664831,-0.334497997104371,"Type II"
"3900",0.108533468044819,-0.18423643323315,0.292769901277969,"Type I"
"3909",0.0547471497387692,-0.1678335447033,0.222580694442069,"Type I"
"3941",0.0513209837048093,-0.200412026661571,0.25173301036638,"Type I"
"3950",0.0878796626286957,-0.201862661640115,0.289742324268811,"Type I"
"4144",-0.233356186174676,0.200261461753618,-0.433617647928294,"Type II"
"4154",0.0216234376863302,-0.147109153767308,0.168732591453638,"Type I"
"4157",-0.249029157614639,0.226562545241859,-0.475591702856498,"Type II"
"4192",0.114142681817602,-0.228935390281614,0.343078072099216,"Type I"
"4197",-0.129227317271512,0.0486469426637248,-0.177874259935236,"Type II"
"4297",-0.191791150845915,0.227659931782515,-0.419451082628429,"Type II"
"4342",-0.222773179095723,0.157689234029986,-0.380462413125708,"Type II"
"4367",0.0531167945941735,-0.219355698013122,0.272472492607296,"Type I"
"4404",-0.183877877818853,0.0435262880538327,-0.227404165872686,"Type II"
"4640",0.123558257803813,-0.179432833573658,0.302991091377471,"Type I"
"4773",-0.234960138806809,0.219653932350029,-0.454614071156837,"Type II"
"4809",0.0692223271966561,-0.24515875911352,0.314381086310176,"Type I"
"4828",-0.190602157701327,-0.0310134755592618,-0.159588682142065,"Type II"
"4839",0.117915600848577,-0.23723093761401,0.355146538462586,"Type I"
"4861",-0.149741189371581,-0.0337743147848948,-0.115966874586686,"Type II"
"4876",0.136653023901754,-0.219729214804005,0.35638223870576,"Type I"
"4891",-0.150208073800303,-0.11840771818882,-0.0318003556114829,"Type II"
"4992",-0.253661038384413,0.160157629876711,-0.413818668261123,"Type II"
"5023",-0.0940437692050776,-0.092312213709514,-0.00173155549556359,"Type II"
"5082",-0.145191156390442,0.168667442655038,-0.31385859904548,"Type II"
"5268",0.0942796316497477,-0.22980982493934,0.324089456589087,"Type I"
"5269",0.146400831503126,-0.202181164330015,0.348581995833141,"Type I"
"5270",-0.106570881285063,-0.110847622522194,0.00427674123713073,"Type I"
"5272",0.160750597026813,-0.105585089441346,0.266335686468159,"Type I"
"5283",0.0967821497893739,-0.209994614409062,0.306776764198436,"Type I"
"5290",0.15406548087116,-0.290124100229901,0.444189581101061,"Type I"
"5299",0.0504360594954215,-0.117345077396154,0.167781136891575,"Type I"
"5407",0.0824812289137434,-0.204354221318833,0.286835450232576,"Type I"
"5416",0.148405222240949,-0.257219876884233,0.405625099125182,"Type I"
"5418",0.0207156312994745,-0.117030917924752,0.137746549224227,"Type I"
"5420",0.0803303042317507,-0.234942061465228,0.315272365696979,"Type I"
"5421",-0.215436360924106,0.0126474522680287,-0.228083813192134,"Type II"
"5422",0.126035253514724,-0.246702049420036,0.37273730293476,"Type I"
"5423",0.108798373253199,-0.195582367691087,0.304380740944286,"Type I"
"5427",0.14571084584409,-0.265301158770695,0.411012004614786,"Type I"
"5428",-0.168513815774709,0.165906603429405,-0.334420419204114,"Type II"
"5429",0.128892885446979,-0.241989657349015,0.370882542795994,"Type I"
"5444",-0.157547532223166,-0.108926472206297,-0.0486210600168692,"Type II"
"5447",-0.233860914204596,0.200006659601698,-0.433867573806294,"Type II"
"5459",-0.0911676555140987,-0.163914513878031,0.0727468583639321,"Type I"
"5479",0.157522449836326,-0.216964032359873,0.3744864821962,"Type I"
"5499",-0.201774380850082,0.0894818829879027,-0.291256263837984,"Type II"
"5504",0.111345335622138,-0.246228638603684,0.357573974225822,"Type I"
"5552",0.0081867590519914,-0.188815633270212,0.197002392322203,"Type I"
"5566",-0.173629302564432,-0.0749986970344504,-0.0986306055299817,"Type II"
"5606",0.0760288949096396,-0.222249729272714,0.298278624182353,"Type I"
"5624",-0.0732051462017125,-0.156352970471905,0.0831478242701926,"Type I"
"5627",0.0188832969345363,-0.223497680721322,0.242380977655858,"Type I"
"5637",-0.23088975146875,0.128947261745511,-0.35983701321426,"Type II"
"5638",0.0113599010081799,-0.193132792457856,0.204492693466036,"Type I"
"5640",0.140297450705409,-0.206088613239288,0.346386063944697,"Type I"
"5645",-0.0612549290190454,-0.0956593874324629,0.0344044584134175,"Type I"
"5648",-0.0210505031658813,-0.0865067783163369,0.0654562751504556,"Type I"
"5649",-0.115095812517519,-0.149620981799019,0.0345251692814998,"Type I"
"5650",-0.0600003696351745,-0.184177075913668,0.124176706278494,"Type I"
"5651",0.105037775394707,-0.202443205179433,0.307480980574139,"Type I"
"5653",-0.000574474667009328,-0.104979934330536,0.104405459663527,"Type I"
"5655",-0.00757026038597836,-0.169447774245293,0.161877513859315,"Type I"
"5656",0.126073097115922,-0.233326384183736,0.359399481299657,"Type I"
"5657",0.120850240108849,-0.227315369781623,0.348165609890472,"Type I"
"5659",-0.153646561006745,-0.10162552191009,-0.0520210390966558,"Type II"
"5667",-0.08305592360169,0.131677698441653,-0.214733622043343,"Type II"
"5669",-0.0863936412188984,0.200578516704018,-0.286972157922917,"Type II"
"5700",0.0514543163927479,-0.198752917195092,0.250207233587839,"Type I"
"5701",0.15746260414141,-0.283639675011437,0.441102279152847,"Type I"
"5709",-0.0134980644758155,-0.211857855144977,0.198359790669161,"Type I"
"5710",0.202488568812208,-0.252160027333322,0.45464859614553,"Type I"
"5714",-0.197468131067352,0.0920559638180944,-0.289524094885447,"Type II"
"5728",-0.241042837636429,0.198761603632089,-0.439804441268518,"Type II"
"5730",-0.00635838506392267,-0.164059287827985,0.157700902764063,"Type I"
"5737",-0.267382424111478,0.209570426735695,-0.476952850847173,"Type II"
"5739",0.118258833510597,-0.272135936948049,0.390394770458646,"Type I"
"5741",-0.180439390612411,0.153347463270849,-0.33378685388326,"Type II"
"5744",-0.269194516550195,0.181106420435133,-0.450300936985327,"Type II"
"5746",-0.200612230259832,0.0436623755667901,-0.244274605826622,"Type II"
"5749",0.0478349719759332,-0.167916065854774,0.215751037830708,"Type I"
"5752",-0.0107610040171423,-0.202902138600789,0.192141134583646,"Type I"
"5756",-0.158668318877224,0.147139556296798,-0.305807875174023,"Type II"
"5757",0.0559634254795687,-0.26452082718044,0.320484252660009,"Type I"
"5763",-0.193052310857901,0.18837552046235,-0.381427831320251,"Type II"
"5764",-0.253769728727386,0.0446482861659804,-0.298418014893366,"Type II"
"5766",-0.241990687833854,0.20070012682198,-0.442690814655834,"Type II"
"5767",0.104688822188319,-0.252863628730101,0.35755245091842,"Type I"
"5769",0.0684861371408103,-0.23582952577845,0.30431566291926,"Type I"
"5770",-0.00582769456341464,-0.1493632841681,0.143535589604685,"Type I"
"5773",0.065297153677144,-0.232234788601078,0.297531942278222,"Type I"
"5816",0.0895192586526533,-0.204516368142782,0.294035626795435,"Type I"
"5827",0.0961084456796909,-0.232537366156483,0.328645811836174,"Type I"
"5838",0.118668072453775,-0.311669359462136,0.43033743191591,"Type I"
"5865",0.0494675273299008,-0.196786886954709,0.24625441428461,"Type I"
"5946",0.131089574483908,-0.209592142828188,0.340681717312096,"Type I"
"5947",0.0877529305688729,-0.262110340913697,0.34986327148257,"Type I"
"5996",-0.235593799105923,0.207141119855458,-0.442734918961381,"Type II"
"6002",-0.137480742667472,0.0120596700312133,-0.149540412698686,"Type II"
"6015",0.114237730862469,-0.224806437228911,0.33904416809138,"Type I"
"6016",0.100782570469406,-0.255914015855643,0.356696586325049,"Type I"
"6017",0.165595458063789,-0.23958640977977,0.405181867843559,"Type I"
"6049",-0.147422608735447,0.195184239328712,-0.342606848064159,"Type II"
"6087",-0.0452822890626272,0.0516987775287666,-0.0969810665913938,"Type II"
"6102",-0.162117807130527,0.031789463931018,-0.193907271061545,"Type II"
"6115",0.0205171724141269,-0.216547083384004,0.237064255798131,"Type I"
"6133",0.15672993442056,-0.232893510073371,0.389623444493931,"Type I"
"6142",0.00362484494024451,-0.107342645193794,0.110967490134039,"Type I"
"6146",0.104708624072667,-0.228867346525136,0.333575970597802,"Type I"
"6167",0.124145273664242,-0.219881227451457,0.344026501115699,"Type I"
"6172",0.0631752717588606,-0.191608322764835,0.254783594523696,"Type I"
"6192",-0.153687924942938,0.084312005235026,-0.237999930177964,"Type II"
"6347",-0.164208006033854,0.176182658397179,-0.340390664431033,"Type II"
"6351",0.0606181884268107,-0.261597841130858,0.322216029557669,"Type I"
"6362",0.128969892774996,-0.227402234151596,0.356372126926592,"Type I"
